,PtxID,TrialNum,height,tempos,TargetID,TargetLateral,TargetVertical,MaxVel_Real,MaxVel_Virt,Lag,PathOffset,PathOffsetNoLag,EndError,EndError_cleaned,PathOffset_cleaned,PathOffsetNoLag_cleaned
30,Susan,30,low,80,row_C5,right,close,1.142067325678897,1.4675326244292768,17.3,2.42,4.08,1.87,1.1118965535303782,1.3084377215905607,3.178328299427902
31,Susan,31,low,80,row_C1,left,close,2.5070638398876532,1.448584884196769,42.4,2.2,7.91,0.65,0.5135260331292724,1.2334976252295826,5.542843148644611
32,Susan,32,low,80,row_B5,right,middle,1.2209829757245485,1.8669094321533148,16.2,2.81,4.44,1.6,1.0026509310601806,1.4312177496413514,3.4160575184956787
33,Susan,33,low,80,row_C2,left,close,4.422988649810331,2.0044029845657567,0.0,3.05,3.05,1.03,0.733703730068409,1.5012621452281527,2.4732032150526972
35,Susan,35,low,80,row_C6,right,close,1.6485907478822028,2.118941248286334,0.0,4.89,4.89,2.38,1.2951413467806505,1.9401980241056038,3.707765449048612
40,Susan,40,low,80,row_C4,center,close,1.5687916531199766,1.3249163855629231,16.2,2.15,4.11,1.55,0.9813066190076514,1.215820635000311,3.1982963378511715
41,Susan,41,low,80,row_A5,right,far,2.1173058357132266,1.9545431759614444,64.0,4.38,12.24,1.67,1.0319205670646547,1.8325467102247828,7.921204292012273
46,Susan,46,low,80,row_A4,center,far,2.5146078065326516,1.3986652723189026,42.9,5.2,10.83,1.08,0.7598528863231135,2.0016005756677457,7.171724969463743
47,Susan,47,low,80,row_B3,center,middle,1.275629734613251,1.3730941986695746,0.0,2.63,2.63,1.06,0.7494618330019409,1.376028266674394,2.1731251838406926
48,Susan,48,low,80,row_C5,right,close,2.5438016442874707,2.287811319579591,15.0,3.48,5.19,1.95,1.1424886813500068,1.6179044779680574,3.899136381756671
49,Susan,49,low,80,row_C1,left,close,4.146496589894752,1.7577624355035268,36.4,2.7,9.43,0.28,0.24993230105207598,1.3977774396531384,6.40508079951366
50,Susan,50,low,80,row_B5,right,middle,2.758887408845258,1.995024214500409,46.8,5.59,10.95,2.35,1.2850758050781375,2.075038981868147,7.236347856815026
52,Susan,52,low,80,row_B6,right,middle,1.7461774165477484,2.007505773211596,0.0,3.15,3.15,1.86,1.1080187284666732,1.5293496356865188,2.5434792742486096
53,Susan,53,low,80,row_C6,right,close,1.849001734002748,2.3114521713048406,51.9,3.77,9.53,2.26,1.2543847979536848,1.6910047752996893,6.460659731137361
56,Susan,56,low,80,row_B4,center,middle,1.662777955370052,2.446337095732964,16.2,5.25,6.87,1.05,0.7442322135284019,2.011244339814313,4.931648065443999
58,Susan,58,low,80,row_C4,center,close,1.7889979532535354,1.6464126903913876,15.3,5.24,7.1,1.47,0.9463592025648704,2.00932115562082,5.068472542806789
65,Susan,65,low,80,row_B3,center,middle,1.3484935645897334,1.871141821444117,0.0,3.59,3.59,0.52,0.4275998895770594,1.6461202104735873,2.847840759319698
66,Susan,66,low,80,row_C5,right,close,1.9024326587839384,2.0487396322490463,15.0,5.64,7.31,2.69,1.3946932063082662,2.084169489178813,5.192552990813546
68,Susan,68,low,80,row_B5,right,middle,1.340123136542553,1.6639558330683184,15.6,2.77,4.21,1.99,1.1575057373332154,1.4191593923164247,3.2646461501364104
71,Susan,71,low,80,row_C6,right,close,2.9233277723617666,2.201440467689733,15.0,4.02,5.35,2.92,1.4638001595560257,1.7508794707592612,4.000249331473548
78,Davide,6,low,80,row_A5,right,far,0.4999235907276035,0.5746715540029451,36.6,2.32,3.95,1.99,1.1575057373332154,1.274928808726321,3.091456379854464
79,Davide,7,low,80,row_C4,center,close,0.4677418585928983,0.5261057104238996,0.0,1.97,1.97,1.06,0.7494618330019409,1.1500199626364438,1.6831857254687546
80,Davide,8,low,80,row_C3,center,close,0.6866836892051682,0.4911671905631271,0.0,2.52,2.52,0.39,0.33478580494787247,1.3410761451115571,2.09312720257609
81,Davide,9,low,80,row_A4,center,far,0.3490937712431966,0.4690638167827894,55.6,1.94,5.97,1.47,0.9463592025648704,1.138705792441983,4.386235884746264
82,Davide,10,low,80,row_A2,left,far,1.6495558914526744,0.6619559735346596,66.6,2.42,7.48,1.01,0.7230814732682167,1.3084377215905607,5.292425523926652
83,Davide,11,low,80,row_B4,center,middle,0.851906686321145,0.9844365527634966,0.0,2.41,2.41,2.21,1.2370031663900938,1.3051268020414009,2.012501673983
84,Davide,12,low,80,row_B5,right,middle,0.5442433035687531,0.8090568671246084,44.4,3.25,4.78,4.79,1.919769475571882,1.556834473676476,3.636989699115793
86,Davide,14,low,80,row_A1,left,far,0.702603895269548,0.8291051661446237,35.8,2.61,4.92,2.57,1.3570835726510322,1.3697448881013807,3.7270103830113155
87,Davide,15,low,80,row_C6,right,close,0.6900834464421002,0.7384161410688297,37.3,3.3,5.09,4.55,1.8694145521884575,1.5703593010346784,3.8356092266244226
88,Davide,16,low,80,row_A6,right,far,0.7612478321979986,0.8129730151495,36.2,3.47,4.8,4.69,1.899020880798239,1.615308587170674,3.6498828902893297
89,Davide,17,low,80,row_B2,left,middle,0.4122707025506861,0.4781903368224251,0.0,2.12,2.12,1.05,0.7442322135284019,1.2050928441551645,1.7967412218564245
90,Davide,18,low,80,row_A3,center,far,0.3145332586781701,0.3532630042956285,32.3,2.09,4.2,0.98,0.7069683532443505,1.19427181170775,3.2580255884347764
91,Davide,19,low,80,row_B3,center,middle,0.4372005677906967,0.4811848797850989,41.4,1.9,4.2,0.99,0.712363662277915,1.123457499326046,3.2580255884347764
92,Davide,20,low,80,row_C5,right,close,0.6006964117497191,0.6523127204910507,37.8,2.21,4.16,1.84,1.1002263301204773,1.2370031663900938,3.2315114274651986
93,Davide,21,low,80,row_B1,left,middle,1.2821124477558403,0.6056588567868535,42.9,2.93,5.54,1.87,1.1118965535303782,1.4667212466497759,4.119497793196257
95,Davide,23,low,80,row_B6,right,middle,1.1433927387071643,1.3459202131756114,41.3,4.34,5.79,6.43,2.220778745822516,1.8237197045882314,4.275093613774842
96,Davide,24,low,80,row_A5,right,far,0.43677056899157657,0.4962770695394975,0.0,2.42,2.42,2.34,1.2817025920682235,1.3084377215905607,2.019857854388508
