PtxID,TrialNum,height,tempos,TargetID,TargetLateral,TargetVertical,MaxVel_Real,MaxVel_Virt,Lag,PathOffset,PathOffsetNoLag,EndError
Poppy,64,mid,160,row_B6,right,middle,2.960101286480651,3.5380442502643668,29.2,6.12,8.53,5.12
Poppy,65,mid,160,row_C1,left,close,1.915896319781139,2.174348583183344,15.9,3.28,5.47,2.04
Poppy,66,mid,160,row_C5,right,close,1.5553944124295094,1.7834963400431547,22.8,4.04,5.13,3.48
Poppy,67,mid,160,row_A1,left,far,1.7158252397066736,2.5040813713565657,77.0,5.95,19.13,5.12
Poppy,68,mid,160,row_A6,right,far,2.1020587212852044,2.8098676046198863,14.6,4.17,5.31,4.93
Poppy,69,mid,160,row_B1,left,middle,1.801374695862437,1.9145672999981649,15.0,3.76,5.88,2.43
Poppy,70,mid,160,row_A4,center,far,1.68195481110494,1.291085393857052,36.9,2.45,7.95,1.65
Poppy,71,mid,160,row_A2,left,far,1.478948767374306,1.5522353624579415,30.0,1.91,6.22,0.67
Katrina,0,mid,160,row_B6,right,middle,1.7849957011819289,1.4436802244422486,21.4,4.41,5.26,4.06
Katrina,1,mid,160,row_A5,right,far,1.1829709352964293,1.3762085184772814,45.3,2.4,7.22,1.45
Katrina,2,mid,160,row_A1,left,far,1.0156635652595871,1.169038879803413,18.9,3.84,5.82,2.42
Katrina,3,mid,160,row_A3,center,far,0.5645658020418628,0.8057350240811466,28.6,1.75,5.77,0.89
Katrina,4,mid,160,row_C5,right,close,1.0212741081212124,1.1324693494951266,37.2,2.14,5.4,1.59
Katrina,5,mid,160,row_C3,center,close,0.8799193692237725,1.0217427946309194,37.0,2.01,6.17,1.45
Katrina,6,mid,160,row_B4,center,middle,0.7461010975269058,0.8831790868203706,16.7,1.89,3.58,1.14
Katrina,7,mid,160,row_B5,right,middle,1.0459837659312665,1.166842878003444,17.3,2.75,4.11,2.03
Katrina,8,mid,160,row_C1,left,close,0.9717270042524415,1.0701128526407133,20.0,4.57,6.66,3.88
Katrina,9,mid,160,row_C4,center,close,0.5789623124511538,0.6627990370094327,41.8,2.03,5.96,1.82
Katrina,10,mid,160,row_B3,center,middle,0.5334640680181763,0.6428310430505554,32.8,1.07,5.13,0.77
Katrina,11,mid,160,row_A6,right,far,1.0034365080574872,1.1904396372871926,38.4,3.41,5.77,2.68
Katrina,12,mid,160,row_B1,left,middle,0.9922521369319931,1.2150082062904206,19.4,3.23,5.21,2.35
Katrina,13,mid,160,row_B2,left,middle,0.6641192998590305,0.8065609467801053,32.4,2.24,6.3,1.37
Katrina,14,mid,160,row_A2,left,far,0.6583020581996661,0.7429127504108617,17.8,3.39,5.38,2.5
Katrina,15,mid,160,row_C2,left,close,1.1165013929009715,1.4067439956010788,20.0,3.95,5.92,3.04
Katrina,16,mid,160,row_A4,center,far,0.50235377025255,0.648510629588079,44.1,0.97,7.19,0.48
Katrina,17,mid,160,row_C6,right,close,1.2528807973327714,1.3912556927624935,17.9,3.8,5.11,5.35
Katrina,18,mid,160,row_B6,right,middle,0.8672685656356686,1.0214176232912686,23.7,4.65,5.79,5.59
Katrina,19,mid,160,row_A5,right,far,0.4843497876632078,0.6070507177729311,36.8,1.73,5.1,1.47
Katrina,20,mid,160,row_A1,left,far,0.87271586142165,0.9783606099696387,0.0,4.68,4.68,4.34
Katrina,21,mid,160,row_A3,center,far,0.61489166180388,0.8085757875920719,29.8,1.86,5.87,1.09
Katrina,22,mid,160,row_C5,right,close,0.8074070773006025,0.7498004815263483,20.3,3.35,4.94,5.26
Katrina,23,mid,160,row_C3,center,close,0.5477949858817909,0.6682245193424561,41.8,1.55,5.91,1.19
