index,Tempo,Ptx,Joint,AngErr_NoLag
82,160,1,Proximal-Metacapal,26.336
83,160,1,Proximal-Metacapal,27.221
84,160,1,Proximal-Metacapal,27.953
85,160,1,Proximal-Metacapal,28.506
86,160,1,Proximal-Metacapal,28.851
87,160,1,Proximal-Metacapal,28.958
88,160,1,Proximal-Metacapal,28.798
89,160,1,Proximal-Metacapal,28.339
90,160,1,Proximal-Metacapal,27.546
91,160,1,Proximal-Metacapal,26.388
92,160,1,Proximal-Metacapal,24.827
93,160,1,Proximal-Metacapal,22.827
94,160,1,Proximal-Metacapal,20.351
95,160,1,Proximal-Metacapal,17.359
96,160,1,Proximal-Metacapal,13.812
97,160,1,Proximal-Metacapal,9.667
98,160,1,Proximal-Metacapal,4.883
99,160,1,Proximal-Metacapal,0.585
