Real_X_Pos,Real_Z_Pos,Real_X_SE,Real_Z_SE,Virt_X_Pos,Virt_Z_Pos,Virt_X_SE,Virt_Z_SE,TargetID,PtxID,Height,Tempo
-1.1441824999999999,0.234635,6.500000000000001e-05,4.5e-05,-1.145385,0.23493750000000002,0.000135,0.0002925,row_A2,Susan,mid,80
-0.7347049999999999,0.24487499999999998,0.00014000000000000001,7.500000000000001e-05,-0.7415200000000001,0.24748,0.0001625,0.00011250000000000001,row_A4,Susan,mid,80
-0.9282275,0.2369175,8e-05,0.000115,-0.9243275,0.2324875,0.0002625,0.0002175,row_A3,Davide,mid,80
-1.32856,0.2340075,6.000000000000001e-05,6.500000000000001e-05,-1.389485,0.258325,0.005505,0.0027675,row_A1,Davide,mid,80
-0.3268975,0.23577749999999997,3.7500000000000003e-05,4e-05,-0.7006325,0.055127499999999996,0.03978,0.023212499999999997,row_A6,Davide,mid,80
-0.5261750000000001,0.23521250000000002,6e-05,4.4999999999999996e-05,-0.53727,0.23995249999999999,0.00032,0.00023500000000000002,row_A5,Davide,mid,80
-1.1305025,0.2324425,0.00011,7e-05,-1.1234674999999998,0.2263825,0.00026999999999999995,0.000455,row_A2,Davide,mid,80
-0.7251075,0.2413275,5.5e-05,3.7500000000000003e-05,-0.72735,0.2483525,0.0001275,0.0001325,row_A4,Davide,mid,80
,,,,,,,,row_A3,Joe,mid,80
,,,,,,,,row_A1,Joe,mid,80
,,,,,,,,row_A6,Joe,mid,80
,,,,,,,,row_A5,Joe,mid,80
,,,,,,,,row_A2,Joe,mid,80
,,,,,,,,row_A4,Joe,mid,80
-0.9316099999999999,0.2242725,4.5e-05,3.2500000000000004e-05,-0.9275125,0.22389,0.000115,0.0001,row_A3,Poppy,mid,80
-1.3325775,0.2174525,7.500000000000001e-05,4.25e-05,-1.285465,0.19763,0.000585,0.00038749999999999993,row_A1,Poppy,mid,80
-0.3710125,0.2231325,0.0067374999999999996,0.001295,-0.4008925,0.221725,0.0151925,0.00698,row_A6,Poppy,mid,80
-0.533325,0.22386499999999998,2.25e-05,5.5e-05,-0.526815,0.2408475,0.00015,6e-05,row_A5,Poppy,mid,80
-1.1291075,0.21817,3.5000000000000004e-05,1.5000000000000002e-05,-1.1264124999999998,0.2142175,0.00014,0.000145,row_A2,Poppy,mid,80
-0.727755,0.233725,0.0001625,0.000145,-0.7221325,0.24316499999999996,0.00027,0.0001875,row_A4,Poppy,mid,80
-0.9429775,0.27061999999999997,0.0007375000000000001,0.0004775,-0.9341425,0.27275499999999997,0.0008175,0.0003325,row_A3,Katrina,mid,80
-1.1985,0.254826,6.2e-05,4e-05,-1.314,0.24528,0.00024400000000000002,0.000176,row_A1,Katrina,mid,80
-0.349575,0.2733875,3.7500000000000003e-05,5.25e-05,-0.36227750000000003,0.3060825,0.00019999999999999998,0.000125,row_A6,Katrina,mid,80
-0.544765,0.2715925,0.0001325,0.00013000000000000002,-0.5491625,0.2925875,0.00024,0.000135,row_A5,Katrina,mid,80
-1.1479275,0.271415,0.00023249999999999999,0.00042500000000000003,-1.1232,0.2601475,0.0003325,0.0004825,row_A2,Katrina,mid,80
-0.750335,0.27327250000000003,0.0002825,0.00023999999999999998,-0.7515075,0.2806425,0.0003275,0.0003775,row_A4,Katrina,mid,80
,,,,,,,,row_A3,Max,mid,80
,,,,,,,,row_A1,Max,mid,80
,,,,,,,,row_A6,Max,mid,80
,,,,,,,,row_A5,Max,mid,80
,,,,,,,,row_A2,Max,mid,80
,,,,,,,,row_A4,Max,mid,80
-0.9504475,0.2488975,2e-05,3.5000000000000004e-05,-0.9506525000000001,0.22769750000000002,0.0009649999999999999,0.006837500000000001,row_A3,Pete,mid,80
-1.3455750000000002,0.2424375,8.25e-05,7.250000000000001e-05,-1.31001,0.247535,0.000215,0.00026,row_A1,Pete,mid,80
-0.34468750000000004,0.2564875,2.5000000000000005e-05,3.7500000000000003e-05,-0.38838249999999996,0.2549125,0.00022999999999999998,0.000125,row_A6,Pete,mid,80
-0.5502024999999999,0.2512875,5.25e-05,5e-05,-0.5648225,0.25805749999999994,0.0001475,0.00017,row_A5,Pete,mid,80
-1.1487375,0.24434,4.25e-05,0.0001325,-1.122625,0.22025999999999998,0.0035025,0.0071975,row_A2,Pete,mid,80
-0.7482575,0.25455500000000003,9.999999999999999e-05,0.0001225,-0.7538649999999999,0.260335,0.00017999999999999998,0.00016999999999999999,row_A4,Pete,mid,80
-0.939105,0.23703,2e-05,1.7500000000000002e-05,-0.9369325000000001,0.24791749999999999,0.0002275,0.00027,row_A3,Susan,high,80
-1.3370875,0.235465,2.75e-05,2.5e-05,-1.32859,0.24451,0.00018999999999999998,0.00017999999999999998,row_A1,Susan,high,80
-0.327608,0.240346,0.000108,4.4e-05,-0.291014,0.23012799999999997,0.000544,0.00038,row_A6,Susan,high,80
-0.538015,0.2357075,2.25e-05,3.7500000000000003e-05,-0.5156625,0.25317999999999996,0.000795,0.000355,row_A5,Susan,high,80
-1.140025,0.2337225,5e-05,3.5000000000000004e-05,-1.1429575,0.2445925,0.000165,0.0002225,row_A2,Susan,high,80
-0.7383575,0.2396325,6.75e-05,4.75e-05,-0.7365475,0.255415,0.0001825,0.0002025,row_A4,Susan,high,80
-0.856995,0.15424,5e-05,2.75e-05,-0.928545,0.2369425,0.00017500000000000003,0.0002225,row_A3,Davide,high,80
-1.33443,0.23578500000000002,8e-05,9.25e-05,-1.1801775,0.13062249999999997,0.01492,0.010894999999999998,row_A1,Davide,high,80
-0.3335325,0.2341225,6.5e-05,6.75e-05,-0.34843999999999997,0.25994,0.00027499999999999996,0.000215,row_A6,Davide,high,80
-0.7561100000000001,0.152945,1e-05,2e-05,-0.537405,0.2552575,0.00047500000000000005,0.000185,row_A5,Davide,high,80
-1.0592875,0.21852749999999999,7.75e-05,5.75e-05,-1.1205525,0.2177,0.00037,0.000335,row_A2,Davide,high,80
-0.8634625,0.18461,1.75e-05,1.25e-05,-0.7279125,0.2542875,0.00027,0.000125,row_A4,Davide,high,80
,,,,,,,,row_A3,Joe,high,80
,,,,,,,,row_A1,Joe,high,80
,,,,,,,,row_A6,Joe,high,80
,,,,,,,,row_A5,Joe,high,80
,,,,,,,,row_A2,Joe,high,80
,,,,,,,,row_A4,Joe,high,80
-0.9354175,0.2265575,0.000145,0.00010999999999999999,-0.933595,0.220495,0.00022749999999999997,0.0003,row_A3,Poppy,high,80
-1.327215,0.22159,5.25e-05,7.250000000000001e-05,-1.2843399999999998,0.1927625,0.000305,0.00035000000000000005,row_A1,Poppy,high,80
-0.3282125,0.22867500000000002,2e-05,3e-05,-0.32935499999999995,0.24924749999999998,0.00046499999999999997,0.0001225,row_A6,Poppy,high,80
-0.5314625,0.22605,6.25e-05,4e-05,-0.5153650000000001,0.24572750000000002,0.0002975,0.000315,row_A5,Poppy,high,80
-1.13071,0.22309249999999997,7.500000000000001e-05,4.75e-05,-1.11453,0.2152775,0.0003775,0.0004625,row_A2,Poppy,high,80
-0.728765,0.2318525,4e-05,4.25e-05,-0.723495,0.23960499999999998,0.000105,0.00015,row_A4,Poppy,high,80
-0.9473175,0.26981,5.5e-05,0.0001875,-0.9368825000000001,0.2653375,0.00011749999999999998,0.0002025,row_A3,Katrina,high,80
-1.3351725,0.26193,0.00159,0.00067,-1.2940575,0.234355,0.00045,0.00029249999999999995,row_A1,Katrina,high,80
-0.33856749999999997,0.2724975,6.5e-05,8.5e-05,-0.3702725,0.29157,0.00021499999999999997,0.0001175,row_A6,Katrina,high,80
-0.54243,0.275035,6.500000000000001e-05,5.25e-05,-0.55365,0.2830775,0.0001525,0.0001125,row_A5,Katrina,high,80
-1.1501166666666667,0.26730333333333334,5.9999999999999995e-05,5.6666666666666664e-05,-1.1247866666666668,0.2555366666666667,0.00025333333333333333,0.00023333333333333333,row_A2,Katrina,high,80
-0.74232,0.27757750000000003,0.000115,9.5e-05,-0.74071,0.28464750000000005,0.00021250000000000002,0.000155,row_A4,Katrina,high,80
,,,,,,,,row_A3,Max,high,80
,,,,,,,,row_A1,Max,high,80
,,,,,,,,row_A6,Max,high,80
,,,,,,,,row_A5,Max,high,80
,,,,,,,,row_A2,Max,high,80
,,,,,,,,row_A4,Max,high,80
-0.9553575,0.248785,0.00012250000000000002,6.75e-05,-0.9512324999999999,0.2516575,0.0001375,0.00024249999999999999,row_A3,Pete,high,80
-1.355975,0.2529225,9.750000000000001e-05,5.500000000000001e-05,-1.321175,0.2484575,0.0002525,0.000535,row_A1,Pete,high,80
-0.34382749999999995,0.24383,1.5e-05,3.2500000000000004e-05,-0.41224000000000005,0.22666,0.0001525,0.0001775,row_A6,Pete,high,80
-0.5523325,0.2438425,2.9999999999999997e-05,4.25e-05,-0.56991,0.24688,0.0001125,0.00013000000000000002,row_A5,Pete,high,80
-1.15297,0.24523,3.2500000000000004e-05,4e-05,-1.13922,0.2560275,0.000155,0.000165,row_A2,Pete,high,80
-0.75221,0.24880000000000002,1.7500000000000002e-05,3.2500000000000004e-05,-0.7587075,0.249765,0.000125,0.00012749999999999998,row_A4,Pete,high,80
-0.4464925,0.3422825,2.5e-05,3.5000000000000004e-05,-0.42692,0.332805,0.00023749999999999997,0.0001275,row_B5,Susan,low,80
-0.6458575,0.34347500000000003,2e-05,2.7500000000000004e-05,-0.6355474999999999,0.3398225,0.0001425,0.0001675,row_B4,Susan,low,80
-0.8462675,0.34530500000000003,0.0002875,0.00025,-0.8390975,0.34362499999999996,0.00023999999999999998,0.00023499999999999997,row_B3,Susan,low,80
-0.91199,0.26165499999999997,0.0,0.0,-1.0467374999999999,0.34577750000000007,0.0002575,0.0002725,row_B2,Susan,low,80
-1.1787174999999999,0.2992675,0.003845,0.0018700000000000001,-1.24764,0.343225,0.0002925,0.000375,row_B1,Susan,low,80
-0.2537125,0.33998,0.0002125,0.00011,-0.24224250000000003,0.32566,0.0002275,0.00016500000000000003,row_B6,Susan,low,80
-0.4254525,0.3258875,0.0001025,9.999999999999999e-05,-0.43759,0.352435,0.0006724999999999999,0.000555,row_B5,Davide,low,80
-0.622565,0.33255999999999997,5.5e-05,0.00010999999999999999,-0.6325425,0.34866250000000004,0.0002225,0.00026500000000000004,row_B4,Davide,low,80
-0.8241825,0.27488,3e-05,6.25e-05,-0.82799,0.335775,0.00022500000000000002,0.0001325,row_B3,Davide,low,80
-1.024785,0.32532750000000005,0.0001275,0.0001025,-1.0172275,0.3290325,0.0002475,0.000275,row_B2,Davide,low,80
-1.12885,0.2746075,4.25e-05,6.500000000000001e-05,-1.2148050000000001,0.3163375,0.0011625000000000001,0.0009574999999999999,row_B1,Davide,low,80
-0.23047249999999997,0.32210249999999996,4.2499999999999996e-05,5.25e-05,-0.25625,0.36310749999999997,0.0005525,0.0003225,row_B6,Davide,low,80
,,,,,,,,row_B5,Joe,low,80
,,,,,,,,row_B4,Joe,low,80
,,,,,,,,row_B3,Joe,low,80
,,,,,,,,row_B2,Joe,low,80
,,,,,,,,row_B1,Joe,low,80
,,,,,,,,row_B6,Joe,low,80
-0.4294975,0.33187750000000005,2.5000000000000005e-05,2.5e-05,-0.444425,0.33907,0.000685,0.0001325,row_B5,Poppy,low,80
-0.6270125,0.3335575,1.7500000000000002e-05,4.7499999999999996e-05,-0.6272875,0.343545,0.0002025,9.750000000000001e-05,row_B4,Poppy,low,80
-0.8292375000000001,0.33104500000000003,1.7500000000000002e-05,2.5e-05,-0.8257049999999999,0.338835,9.750000000000001e-05,0.0001,row_B3,Poppy,low,80
-1.0287549999999999,0.3234725,3e-05,2e-05,-1.01715,0.328635,0.00015500000000000003,0.0002225,row_B2,Poppy,low,80
-1.2311800000000002,0.32585000000000003,5.500000000000001e-05,3.0000000000000004e-05,-1.173915,0.30259499999999995,0.000815,0.00054,row_B1,Poppy,low,80
-0.23475749999999998,0.325115,0.000505,8e-05,-0.27276249999999996,0.3517,0.0003175,0.0002275,row_B6,Poppy,low,80
-0.446955,0.3787425,3e-05,5e-05,-0.4715325,0.38287249999999995,0.0001275,4.9999999999999996e-05,row_B5,Katrina,low,80
-0.7433675,0.37017750000000005,0.000145,0.00027,-0.65672,0.3761725,0.0002575,0.00027,row_B4,Katrina,low,80
-0.843995,0.36265250000000004,7.500000000000001e-05,0.0001225,-0.8459599999999999,0.36229500000000003,0.0001775,0.0002375,row_B3,Katrina,low,80
-1.045745,0.3616325,0.000265,0.0002025,-1.03393,0.35142,0.0002625,0.00021250000000000002,row_B2,Katrina,low,80
-1.2451875,0.3558875,6.25e-05,3e-05,-1.2152175,0.32925249999999995,0.000155,0.0001675,row_B1,Katrina,low,80
-0.25473,0.37815750000000004,4.4999999999999996e-05,3.7500000000000003e-05,-0.29995,0.39397499999999996,0.000185,8.75e-05,row_B6,Katrina,low,80
,,,,,,,,row_B5,Max,low,80
,,,,,,,,row_B4,Max,low,80
,,,,,,,,row_B3,Max,low,80
,,,,,,,,row_B2,Max,low,80
,,,,,,,,row_B1,Max,low,80
,,,,,,,,row_B6,Max,low,80
-0.4483225,0.344705,3.0000000000000004e-05,3.2500000000000004e-05,-0.4676025,0.3547825,0.000105,0.0001075,row_B5,Pete,low,80
-0.6418925,0.34812999999999994,2e-05,3.5000000000000004e-05,-0.6553075,0.35729500000000003,0.0001025,8.75e-05,row_B4,Pete,low,80
-0.84553,0.34582,1.5000000000000002e-05,3.2500000000000004e-05,-0.8454349999999999,0.355285,8.750000000000001e-05,9.75e-05,row_B3,Pete,low,80
-1.0480800000000001,0.33729750000000003,3.7500000000000003e-05,4e-05,-1.0386224999999998,0.35269,0.000125,0.00011749999999999998,row_B2,Pete,low,80
-1.2534975,0.33668250000000005,0.00027,5e-05,-1.1741875,0.251065,7.500000000000001e-05,9e-05,row_B1,Pete,low,80
-0.246995,0.3442675,3.2500000000000004e-05,4.5e-05,-0.28386,0.35274000000000005,0.00011,0.0001275,row_B6,Pete,low,80
-0.4316875,0.34692,3e-05,9.5e-05,-0.4251475,0.3431725,0.00031749999999999997,0.00037000000000000005,row_B5,Susan,mid,80
-0.6175125,0.346955,0.003585,0.0006374999999999999,-0.6102525000000001,0.3521625,0.004045,0.00078,row_B4,Susan,mid,80
-0.837305,0.3500775,4.2499999999999996e-05,3e-05,-0.8431125,0.3537675,7.999999999999999e-05,0.0001,row_B3,Susan,mid,80
-1.0012075,0.3404725,7.75e-05,4e-05,-1.0399875,0.3478275,0.00032500000000000004,0.0004525,row_B2,Susan,mid,80
-1.2345675,0.33672749999999996,0.0003125,0.0003025,-1.2373425,0.33082,0.00012749999999999998,0.0002375,row_B1,Susan,mid,80
-0.23804499999999998,0.34130499999999997,5.75e-05,6.000000000000001e-05,-0.222085,0.3394375,0.0009025,0.0005025,row_B6,Susan,mid,80
-0.425805,0.338495,3.2500000000000004e-05,3.7500000000000003e-05,-0.4292925,0.364525,0.0006675,0.0003025,row_B5,Davide,mid,80
-0.6246625,0.34113000000000004,6.5e-05,4.75e-05,-0.6340975,0.3439425,0.00035749999999999996,0.000305,row_B4,Davide,mid,80
-0.8086399999999999,0.309332,0.000348,0.000442,-0.828904,0.342266,0.000488,0.00032,row_B3,Davide,mid,80
-1.0115625000000001,0.3289075,0.0023150000000000002,0.0009825,-1.0167575,0.33468499999999995,0.0004175,0.0005400000000000001,row_B2,Davide,mid,80
-1.2269375,0.335655,0.0017925,0.00032250000000000003,-1.22455,0.31309,0.00037,0.00043,row_B1,Davide,mid,80
-0.229055,0.3332575,8e-05,4.5e-05,-0.2544825,0.346195,0.0010075,0.000385,row_B6,Davide,mid,80
,,,,,,,,row_B5,Joe,mid,80
,,,,,,,,row_B4,Joe,mid,80
,,,,,,,,row_B3,Joe,mid,80
,,,,,,,,row_B2,Joe,mid,80
,,,,,,,,row_B1,Joe,mid,80
,,,,,,,,row_B6,Joe,mid,80
-0.4296625,0.3285525,2.5e-05,2.75e-05,-0.4360575,0.33793,0.0001875,0.00011250000000000001,row_B5,Poppy,mid,80
-0.6293875,0.3276625,2.25e-05,1.7500000000000002e-05,-0.628545,0.340225,0.0001275,7.750000000000001e-05,row_B4,Poppy,mid,80
-0.830175,0.32997750000000003,6.25e-05,5.4999999999999995e-05,-0.82773,0.33596000000000004,0.0001475,0.00016500000000000003,row_B3,Poppy,mid,80
-1.0338025,0.32496,6.25e-05,3.7500000000000003e-05,-1.0262850000000001,0.3356475,0.000335,0.0004675,row_B2,Poppy,mid,80
