index,Tempo,Ptx,Joint,AngVelErr_NoLag
51,80,1,Medial-Proximal,0.757
52,80,1,Medial-Proximal,0.736
53,80,1,Medial-Proximal,0.712
54,80,1,Medial-Proximal,0.689
55,80,1,Medial-Proximal,0.674
56,80,1,Medial-Proximal,0.663
57,80,1,Medial-Proximal,0.654
58,80,1,Medial-Proximal,0.647
59,80,1,Medial-Proximal,0.642
60,80,1,Medial-Proximal,0.638
61,80,1,Medial-Proximal,0.635
62,80,1,Medial-Proximal,0.636
63,80,1,Medial-Proximal,0.635
64,80,1,Medial-Proximal,0.634
65,80,1,Medial-Proximal,0.634
66,80,1,Medial-Proximal,0.634
67,80,1,Medial-Proximal,0.634
68,80,1,Medial-Proximal,0.635
69,80,1,Medial-Proximal,0.635
70,80,1,Medial-Proximal,0.636
71,80,1,Medial-Proximal,0.637
72,80,1,Medial-Proximal,0.638
73,80,1,Medial-Proximal,0.639
74,80,1,Medial-Proximal,0.639
75,80,1,Medial-Proximal,0.639
76,80,1,Medial-Proximal,0.638
77,80,1,Medial-Proximal,0.637
78,80,1,Medial-Proximal,0.635
79,80,1,Medial-Proximal,0.632
80,80,1,Medial-Proximal,0.628
81,80,1,Medial-Proximal,0.622
82,80,1,Medial-Proximal,0.615
83,80,1,Medial-Proximal,0.605
84,80,1,Medial-Proximal,0.594
85,80,1,Medial-Proximal,0.581
86,80,1,Medial-Proximal,0.565
87,80,1,Medial-Proximal,0.546
88,80,1,Medial-Proximal,0.525
89,80,1,Medial-Proximal,0.5
90,80,1,Medial-Proximal,0.471
91,80,1,Medial-Proximal,0.438
92,80,1,Medial-Proximal,0.402
93,80,1,Medial-Proximal,0.36
94,80,1,Medial-Proximal,0.314
95,80,1,Medial-Proximal,0.263
96,80,1,Medial-Proximal,0.206
97,80,1,Medial-Proximal,0.143
98,80,1,Medial-Proximal,0.073
99,80,1,Medial-Proximal,0.003
0,80,0,Proximal-Metacapal,0.3
1,80,0,Proximal-Metacapal,0.241
2,80,0,Proximal-Metacapal,0.19
3,80,0,Proximal-Metacapal,0.145
4,80,0,Proximal-Metacapal,0.108
5,80,0,Proximal-Metacapal,0.077
6,80,0,Proximal-Metacapal,0.051
7,80,0,Proximal-Metacapal,0.031
8,80,0,Proximal-Metacapal,0.016
9,80,0,Proximal-Metacapal,0.006
10,80,0,Proximal-Metacapal,0.0
11,80,0,Proximal-Metacapal,0.003
12,80,0,Proximal-Metacapal,0.002
13,80,0,Proximal-Metacapal,0.001
14,80,0,Proximal-Metacapal,0.007
15,80,0,Proximal-Metacapal,0.016
16,80,0,Proximal-Metacapal,0.026
17,80,0,Proximal-Metacapal,0.039
18,80,0,Proximal-Metacapal,0.052
19,80,0,Proximal-Metacapal,0.067
20,80,0,Proximal-Metacapal,0.082
21,80,0,Proximal-Metacapal,0.098
22,80,0,Proximal-Metacapal,0.115
23,80,0,Proximal-Metacapal,0.131
24,80,0,Proximal-Metacapal,0.148
25,80,0,Proximal-Metacapal,0.164
26,80,0,Proximal-Metacapal,0.18
27,80,0,Proximal-Metacapal,0.195
28,80,0,Proximal-Metacapal,0.21
29,80,0,Proximal-Metacapal,0.224
30,80,0,Proximal-Metacapal,0.237
31,80,0,Proximal-Metacapal,0.249
32,80,0,Proximal-Metacapal,0.26
33,80,0,Proximal-Metacapal,0.269
34,80,0,Proximal-Metacapal,0.278
35,80,0,Proximal-Metacapal,0.285
36,80,0,Proximal-Metacapal,0.291
37,80,0,Proximal-Metacapal,0.296
38,80,0,Proximal-Metacapal,0.309
39,80,0,Proximal-Metacapal,0.319
40,80,0,Proximal-Metacapal,0.325
41,80,0,Proximal-Metacapal,0.329
42,80,0,Proximal-Metacapal,0.329
43,80,0,Proximal-Metacapal,0.32
44,80,0,Proximal-Metacapal,0.304
45,80,0,Proximal-Metacapal,0.282
46,80,0,Proximal-Metacapal,0.258
47,80,0,Proximal-Metacapal,0.234
48,80,0,Proximal-Metacapal,0.227
49,80,0,Proximal-Metacapal,0.233
50,80,1,Proximal-Metacapal,0.246
51,80,1,Proximal-Metacapal,0.262
52,80,1,Proximal-Metacapal,0.278
53,80,1,Proximal-Metacapal,0.295
54,80,1,Proximal-Metacapal,0.312
55,80,1,Proximal-Metacapal,0.328
56,80,1,Proximal-Metacapal,0.342
57,80,1,Proximal-Metacapal,0.355
58,80,1,Proximal-Metacapal,0.369
59,80,1,Proximal-Metacapal,0.384
60,80,1,Proximal-Metacapal,0.402
61,80,1,Proximal-Metacapal,0.425
62,80,1,Proximal-Metacapal,0.45
63,80,1,Proximal-Metacapal,0.474
64,80,1,Proximal-Metacapal,0.5
65,80,1,Proximal-Metacapal,0.526
66,80,1,Proximal-Metacapal,0.554
67,80,1,Proximal-Metacapal,0.584
68,80,1,Proximal-Metacapal,0.614
69,80,1,Proximal-Metacapal,0.645
70,80,1,Proximal-Metacapal,0.677
71,80,1,Proximal-Metacapal,0.709
72,80,1,Proximal-Metacapal,0.74
73,80,1,Proximal-Metacapal,0.772
74,80,1,Proximal-Metacapal,0.803
75,80,1,Proximal-Metacapal,0.834
76,80,1,Proximal-Metacapal,0.863
77,80,1,Proximal-Metacapal,0.89
78,80,1,Proximal-Metacapal,0.916
79,80,1,Proximal-Metacapal,0.939
80,80,1,Proximal-Metacapal,0.959
81,80,1,Proximal-Metacapal,0.976
82,80,1,Proximal-Metacapal,0.99
83,80,1,Proximal-Metacapal,0.999
84,80,1,Proximal-Metacapal,1.003
85,80,1,Proximal-Metacapal,1.003
86,80,1,Proximal-Metacapal,0.996
87,80,1,Proximal-Metacapal,0.983
88,80,1,Proximal-Metacapal,0.963
89,80,1,Proximal-Metacapal,0.936
90,80,1,Proximal-Metacapal,0.9
91,80,1,Proximal-Metacapal,0.856
92,80,1,Proximal-Metacapal,0.802
93,80,1,Proximal-Metacapal,0.737
94,80,1,Proximal-Metacapal,0.662
95,80,1,Proximal-Metacapal,0.575
96,80,1,Proximal-Metacapal,0.476
97,80,1,Proximal-Metacapal,0.363
98,80,1,Proximal-Metacapal,0.237
99,80,1,Proximal-Metacapal,0.095
0,120,0,Distal-Medial,0.705
1,120,0,Distal-Medial,0.714
2,120,0,Distal-Medial,0.722
3,120,0,Distal-Medial,0.728
4,120,0,Distal-Medial,0.733
5,120,0,Distal-Medial,0.737
6,120,0,Distal-Medial,0.739
7,120,0,Distal-Medial,0.741
8,120,0,Distal-Medial,0.743
9,120,0,Distal-Medial,0.744
10,120,0,Distal-Medial,0.745
11,120,0,Distal-Medial,0.746
12,120,0,Distal-Medial,0.747
13,120,0,Distal-Medial,0.749
14,120,0,Distal-Medial,0.751
15,120,0,Distal-Medial,0.753
16,120,0,Distal-Medial,0.757
17,120,0,Distal-Medial,0.76
18,120,0,Distal-Medial,0.765
19,120,0,Distal-Medial,0.771
20,120,0,Distal-Medial,0.777
21,120,0,Distal-Medial,0.785
22,120,0,Distal-Medial,0.794
23,120,0,Distal-Medial,0.804
24,120,0,Distal-Medial,0.815
25,120,0,Distal-Medial,0.827
26,120,0,Distal-Medial,0.84
27,120,0,Distal-Medial,0.855
28,120,0,Distal-Medial,0.87
29,120,0,Distal-Medial,0.887
30,120,0,Distal-Medial,0.905
31,120,0,Distal-Medial,0.924
32,120,0,Distal-Medial,0.943
33,120,0,Distal-Medial,0.964
34,120,0,Distal-Medial,0.985
35,120,0,Distal-Medial,1.007
36,120,0,Distal-Medial,1.03
37,120,0,Distal-Medial,1.053
38,120,0,Distal-Medial,1.096
39,120,0,Distal-Medial,1.149
40,120,0,Distal-Medial,1.211
41,120,0,Distal-Medial,1.268
42,120,0,Distal-Medial,1.302
43,120,0,Distal-Medial,1.313
44,120,0,Distal-Medial,1.324
45,120,0,Distal-Medial,1.33
46,120,0,Distal-Medial,1.323
47,120,0,Distal-Medial,1.317
48,120,0,Distal-Medial,1.318
49,120,0,Distal-Medial,1.324
50,120,1,Distal-Medial,1.303
51,120,1,Distal-Medial,1.296
52,120,1,Distal-Medial,1.3
53,120,1,Distal-Medial,1.291
54,120,1,Distal-Medial,1.28
55,120,1,Distal-Medial,1.269
56,120,1,Distal-Medial,1.245
57,120,1,Distal-Medial,1.231
58,120,1,Distal-Medial,1.24
59,120,1,Distal-Medial,1.257
60,120,1,Distal-Medial,1.269
61,120,1,Distal-Medial,1.262
62,120,1,Distal-Medial,1.221
63,120,1,Distal-Medial,1.198
64,120,1,Distal-Medial,1.173
65,120,1,Distal-Medial,1.146
66,120,1,Distal-Medial,1.118
67,120,1,Distal-Medial,1.088
68,120,1,Distal-Medial,1.057
69,120,1,Distal-Medial,1.025
70,120,1,Distal-Medial,0.992
71,120,1,Distal-Medial,0.958
72,120,1,Distal-Medial,0.924
73,120,1,Distal-Medial,0.89
74,120,1,Distal-Medial,0.855
75,120,1,Distal-Medial,0.822
76,120,1,Distal-Medial,0.789
77,120,1,Distal-Medial,0.757
78,120,1,Distal-Medial,0.727
79,120,1,Distal-Medial,0.698
80,120,1,Distal-Medial,0.671
81,120,1,Distal-Medial,0.647
82,120,1,Distal-Medial,0.626
83,120,1,Distal-Medial,0.608
84,120,1,Distal-Medial,0.593
85,120,1,Distal-Medial,0.583
86,120,1,Distal-Medial,0.577
87,120,1,Distal-Medial,0.577
88,120,1,Distal-Medial,0.582
89,120,1,Distal-Medial,0.593
90,120,1,Distal-Medial,0.61
91,120,1,Distal-Medial,0.634
92,120,1,Distal-Medial,0.666
93,120,1,Distal-Medial,0.706
94,120,1,Distal-Medial,0.755
95,120,1,Distal-Medial,0.813
96,120,1,Distal-Medial,0.88
97,120,1,Distal-Medial,0.958
98,120,1,Distal-Medial,1.048
99,120,1,Distal-Medial,1.148
0,120,0,Medial-Proximal,3.471
1,120,0,Medial-Proximal,3.178
2,120,0,Medial-Proximal,2.909
3,120,0,Medial-Proximal,2.665
4,120,0,Medial-Proximal,2.444
5,120,0,Medial-Proximal,2.244
6,120,0,Medial-Proximal,2.064
7,120,0,Medial-Proximal,1.903
8,120,0,Medial-Proximal,1.759
9,120,0,Medial-Proximal,1.631
10,120,0,Medial-Proximal,1.517
11,120,0,Medial-Proximal,1.418
12,120,0,Medial-Proximal,1.331
13,120,0,Medial-Proximal,1.255
14,120,0,Medial-Proximal,1.19
15,120,0,Medial-Proximal,1.134
16,120,0,Medial-Proximal,1.086
17,120,0,Medial-Proximal,1.046
18,120,0,Medial-Proximal,1.013
19,120,0,Medial-Proximal,0.985
20,120,0,Medial-Proximal,0.962
21,120,0,Medial-Proximal,0.944
22,120,0,Medial-Proximal,0.929
23,120,0,Medial-Proximal,0.917
24,120,0,Medial-Proximal,0.907
25,120,0,Medial-Proximal,0.899
26,120,0,Medial-Proximal,0.892
27,120,0,Medial-Proximal,0.886
28,120,0,Medial-Proximal,0.88
29,120,0,Medial-Proximal,0.873
30,120,0,Medial-Proximal,0.866
31,120,0,Medial-Proximal,0.859
32,120,0,Medial-Proximal,0.849
33,120,0,Medial-Proximal,0.839
34,120,0,Medial-Proximal,0.827
35,120,0,Medial-Proximal,0.812
36,120,0,Medial-Proximal,0.796
37,120,0,Medial-Proximal,0.778
38,120,0,Medial-Proximal,0.737
39,120,0,Medial-Proximal,0.666
40,120,0,Medial-Proximal,0.582
41,120,0,Medial-Proximal,0.518
42,120,0,Medial-Proximal,0.464
43,120,0,Medial-Proximal,0.411
44,120,0,Medial-Proximal,0.353
45,120,0,Medial-Proximal,0.289
46,120,0,Medial-Proximal,0.221
47,120,0,Medial-Proximal,0.17
48,120,0,Medial-Proximal,0.141
49,120,0,Medial-Proximal,0.147
50,120,1,Medial-Proximal,0.176
51,120,1,Medial-Proximal,0.216
52,120,1,Medial-Proximal,0.258
53,120,1,Medial-Proximal,0.303
54,120,1,Medial-Proximal,0.371
55,120,1,Medial-Proximal,0.428
56,120,1,Medial-Proximal,0.466
57,120,1,Medial-Proximal,0.481
58,120,1,Medial-Proximal,0.479
59,120,1,Medial-Proximal,0.469
60,120,1,Medial-Proximal,0.457
61,120,1,Medial-Proximal,0.449
62,120,1,Medial-Proximal,0.45
63,120,1,Medial-Proximal,0.482
64,120,1,Medial-Proximal,0.516
65,120,1,Medial-Proximal,0.554
66,120,1,Medial-Proximal,0.594
67,120,1,Medial-Proximal,0.637
68,120,1,Medial-Proximal,0.682
69,120,1,Medial-Proximal,0.729
70,120,1,Medial-Proximal,0.778
71,120,1,Medial-Proximal,0.829
72,120,1,Medial-Proximal,0.881
73,120,1,Medial-Proximal,0.935
74,120,1,Medial-Proximal,0.989
75,120,1,Medial-Proximal,1.045
76,120,1,Medial-Proximal,1.1
77,120,1,Medial-Proximal,1.155
78,120,1,Medial-Proximal,1.21
79,120,1,Medial-Proximal,1.265
80,120,1,Medial-Proximal,1.318
81,120,1,Medial-Proximal,1.37
82,120,1,Medial-Proximal,1.42
83,120,1,Medial-Proximal,1.467
84,120,1,Medial-Proximal,1.512
85,120,1,Medial-Proximal,1.554
86,120,1,Medial-Proximal,1.592
87,120,1,Medial-Proximal,1.625
88,120,1,Medial-Proximal,1.655
89,120,1,Medial-Proximal,1.678
90,120,1,Medial-Proximal,1.697
91,120,1,Medial-Proximal,1.708
92,120,1,Medial-Proximal,1.713
93,120,1,Medial-Proximal,1.711
94,120,1,Medial-Proximal,1.7
95,120,1,Medial-Proximal,1.681
96,120,1,Medial-Proximal,1.653
97,120,1,Medial-Proximal,1.614
98,120,1,Medial-Proximal,1.565
99,120,1,Medial-Proximal,1.504
0,120,0,Proximal-Metacapal,0.291
1,120,0,Proximal-Metacapal,0.184
2,120,0,Proximal-Metacapal,0.07
3,120,0,Proximal-Metacapal,0.051
4,120,0,Proximal-Metacapal,0.175
5,120,0,Proximal-Metacapal,0.304
6,120,0,Proximal-Metacapal,0.435
7,120,0,Proximal-Metacapal,0.568
8,120,0,Proximal-Metacapal,0.701
9,120,0,Proximal-Metacapal,0.835
10,120,0,Proximal-Metacapal,0.967
11,120,0,Proximal-Metacapal,1.098
12,120,0,Proximal-Metacapal,1.226
13,120,0,Proximal-Metacapal,1.351
14,120,0,Proximal-Metacapal,1.472
15,120,0,Proximal-Metacapal,1.588
16,120,0,Proximal-Metacapal,1.699
17,120,0,Proximal-Metacapal,1.805
18,120,0,Proximal-Metacapal,1.904
19,120,0,Proximal-Metacapal,1.997
20,120,0,Proximal-Metacapal,2.083
21,120,0,Proximal-Metacapal,2.161
22,120,0,Proximal-Metacapal,2.232
23,120,0,Proximal-Metacapal,2.294
24,120,0,Proximal-Metacapal,2.348
25,120,0,Proximal-Metacapal,2.394
26,120,0,Proximal-Metacapal,2.431
27,120,0,Proximal-Metacapal,2.459
28,120,0,Proximal-Metacapal,2.479
29,120,0,Proximal-Metacapal,2.489
30,120,0,Proximal-Metacapal,2.491
31,120,0,Proximal-Metacapal,2.484
32,120,0,Proximal-Metacapal,2.468
33,120,0,Proximal-Metacapal,2.443
34,120,0,Proximal-Metacapal,2.41
35,120,0,Proximal-Metacapal,2.369
36,120,0,Proximal-Metacapal,2.32
37,120,0,Proximal-Metacapal,2.264
38,120,0,Proximal-Metacapal,2.157
39,120,0,Proximal-Metacapal,2.04
40,120,0,Proximal-Metacapal,1.915
41,120,0,Proximal-Metacapal,1.789
42,120,0,Proximal-Metacapal,1.678
43,120,0,Proximal-Metacapal,1.572
44,120,0,Proximal-Metacapal,1.468
45,120,0,Proximal-Metacapal,1.362
46,120,0,Proximal-Metacapal,1.254
47,120,0,Proximal-Metacapal,1.145
48,120,0,Proximal-Metacapal,1.039
49,120,0,Proximal-Metacapal,0.935
50,120,1,Proximal-Metacapal,0.834
51,120,1,Proximal-Metacapal,0.737
52,120,1,Proximal-Metacapal,0.64
53,120,1,Proximal-Metacapal,0.547
54,120,1,Proximal-Metacapal,0.473
55,120,1,Proximal-Metacapal,0.412
56,120,1,Proximal-Metacapal,0.334
57,120,1,Proximal-Metacapal,0.267
58,120,1,Proximal-Metacapal,0.233
59,120,1,Proximal-Metacapal,0.245
60,120,1,Proximal-Metacapal,0.292
61,120,1,Proximal-Metacapal,0.35
62,120,1,Proximal-Metacapal,0.415
63,120,1,Proximal-Metacapal,0.416
64,120,1,Proximal-Metacapal,0.42
65,120,1,Proximal-Metacapal,0.429
66,120,1,Proximal-Metacapal,0.442
67,120,1,Proximal-Metacapal,0.458
68,120,1,Proximal-Metacapal,0.477
69,120,1,Proximal-Metacapal,0.499
70,120,1,Proximal-Metacapal,0.524
71,120,1,Proximal-Metacapal,0.552
72,120,1,Proximal-Metacapal,0.581
73,120,1,Proximal-Metacapal,0.613
74,120,1,Proximal-Metacapal,0.645
75,120,1,Proximal-Metacapal,0.679
76,120,1,Proximal-Metacapal,0.714
77,120,1,Proximal-Metacapal,0.749
78,120,1,Proximal-Metacapal,0.783
79,120,1,Proximal-Metacapal,0.818
80,120,1,Proximal-Metacapal,0.851
81,120,1,Proximal-Metacapal,0.883
82,120,1,Proximal-Metacapal,0.914
83,120,1,Proximal-Metacapal,0.942
84,120,1,Proximal-Metacapal,0.967
85,120,1,Proximal-Metacapal,0.989
86,120,1,Proximal-Metacapal,1.008
87,120,1,Proximal-Metacapal,1.022
88,120,1,Proximal-Metacapal,1.032
89,120,1,Proximal-Metacapal,1.036
90,120,1,Proximal-Metacapal,1.035
91,120,1,Proximal-Metacapal,1.027
92,120,1,Proximal-Metacapal,1.012
93,120,1,Proximal-Metacapal,0.99
94,120,1,Proximal-Metacapal,0.96
95,120,1,Proximal-Metacapal,0.921
96,120,1,Proximal-Metacapal,0.873
97,120,1,Proximal-Metacapal,0.814
98,120,1,Proximal-Metacapal,0.745
99,120,1,Proximal-Metacapal,0.665
0,160,0,Distal-Medial,1.035
1,160,0,Distal-Medial,1.033
2,160,0,Distal-Medial,1.028
3,160,0,Distal-Medial,1.021
4,160,0,Distal-Medial,1.012
5,160,0,Distal-Medial,1.001
6,160,0,Distal-Medial,0.989
7,160,0,Distal-Medial,0.975
8,160,0,Distal-Medial,0.96
9,160,0,Distal-Medial,0.944
10,160,0,Distal-Medial,0.927
11,160,0,Distal-Medial,0.909
12,160,0,Distal-Medial,0.891
13,160,0,Distal-Medial,0.872
14,160,0,Distal-Medial,0.853
15,160,0,Distal-Medial,0.834
16,160,0,Distal-Medial,0.815
17,160,0,Distal-Medial,0.796
18,160,0,Distal-Medial,0.778
19,160,0,Distal-Medial,0.76
20,160,0,Distal-Medial,0.742
21,160,0,Distal-Medial,0.726
22,160,0,Distal-Medial,0.709
23,160,0,Distal-Medial,0.694
24,160,0,Distal-Medial,0.68
25,160,0,Distal-Medial,0.666
26,160,0,Distal-Medial,0.654
27,160,0,Distal-Medial,0.643
28,160,0,Distal-Medial,0.633
29,160,0,Distal-Medial,0.624
30,160,0,Distal-Medial,0.617
31,160,0,Distal-Medial,0.611
32,160,0,Distal-Medial,0.606
33,160,0,Distal-Medial,0.603
34,160,0,Distal-Medial,0.601
35,160,0,Distal-Medial,0.601
36,160,0,Distal-Medial,0.603
37,160,0,Distal-Medial,0.605
38,160,0,Distal-Medial,0.565
39,160,0,Distal-Medial,0.529
40,160,0,Distal-Medial,0.505
41,160,0,Distal-Medial,0.493
42,160,0,Distal-Medial,0.489
43,160,0,Distal-Medial,0.497
44,160,0,Distal-Medial,0.517
45,160,0,Distal-Medial,0.546
46,160,0,Distal-Medial,0.58
47,160,0,Distal-Medial,0.622
48,160,0,Distal-Medial,0.677
49,160,0,Distal-Medial,0.749
50,160,1,Distal-Medial,0.831
51,160,1,Distal-Medial,0.916
52,160,1,Distal-Medial,1.001
53,160,1,Distal-Medial,1.07
54,160,1,Distal-Medial,1.11
55,160,1,Distal-Medial,1.123
56,160,1,Distal-Medial,1.108
57,160,1,Distal-Medial,1.073
58,160,1,Distal-Medial,1.038
59,160,1,Distal-Medial,1.014
60,160,1,Distal-Medial,1.0
61,160,1,Distal-Medial,0.984
62,160,1,Distal-Medial,0.978
63,160,1,Distal-Medial,0.975
64,160,1,Distal-Medial,0.971
65,160,1,Distal-Medial,0.965
66,160,1,Distal-Medial,0.958
67,160,1,Distal-Medial,0.948
68,160,1,Distal-Medial,0.936
69,160,1,Distal-Medial,0.923
70,160,1,Distal-Medial,0.908
71,160,1,Distal-Medial,0.892
72,160,1,Distal-Medial,0.874
73,160,1,Distal-Medial,0.855
74,160,1,Distal-Medial,0.835
75,160,1,Distal-Medial,0.814
76,160,1,Distal-Medial,0.792
77,160,1,Distal-Medial,0.769
78,160,1,Distal-Medial,0.746
79,160,1,Distal-Medial,0.722
80,160,1,Distal-Medial,0.699
81,160,1,Distal-Medial,0.675
82,160,1,Distal-Medial,0.652
83,160,1,Distal-Medial,0.629
84,160,1,Distal-Medial,0.607
85,160,1,Distal-Medial,0.587
86,160,1,Distal-Medial,0.567
87,160,1,Distal-Medial,0.549
88,160,1,Distal-Medial,0.534
89,160,1,Distal-Medial,0.52
90,160,1,Distal-Medial,0.509
91,160,1,Distal-Medial,0.501
92,160,1,Distal-Medial,0.496
93,160,1,Distal-Medial,0.495
94,160,1,Distal-Medial,0.498
95,160,1,Distal-Medial,0.505
96,160,1,Distal-Medial,0.517
97,160,1,Distal-Medial,0.533
98,160,1,Distal-Medial,0.556
99,160,1,Distal-Medial,0.585
0,160,0,Medial-Proximal,0.565
1,160,0,Medial-Proximal,0.682
2,160,0,Medial-Proximal,0.791
3,160,0,Medial-Proximal,0.891
4,160,0,Medial-Proximal,0.984
5,160,0,Medial-Proximal,1.068
6,160,0,Medial-Proximal,1.146
7,160,0,Medial-Proximal,1.217
8,160,0,Medial-Proximal,1.281
9,160,0,Medial-Proximal,1.338
10,160,0,Medial-Proximal,1.389
11,160,0,Medial-Proximal,1.434
12,160,0,Medial-Proximal,1.473
13,160,0,Medial-Proximal,1.506
14,160,0,Medial-Proximal,1.534
15,160,0,Medial-Proximal,1.557
16,160,0,Medial-Proximal,1.576
17,160,0,Medial-Proximal,1.589
18,160,0,Medial-Proximal,1.599
19,160,0,Medial-Proximal,1.604
